new,price,refurbished,title,day,id
,4749.0,Reacondicionado,Macbook Pro 13 Mid 2010 320gb-hdd 8gb Intel Core 2 Duo (Reacondicionado),24/12/2023,9821691867
,11999.0,Reacondicionado,Macbook Pro 2017 A1708 Mac Os Ventura (Reacondicionado),24/12/2023,7677459946
Usado,19950.0,,Macbook Pro Touch Bar M1 2020 8 Y 256 13,24/12/2023,8925008640
Usado,15500.0,,Macbook Pro 13 Pulgadas 2019 Touch Bar,24/12/2023,3009201395
Usado,21500.0,,Macbook Pro 15 2018 Space Gray  512 Gb Ssd/ 32 Gb Ram !!!!!,24/12/2023,1144551817
,8074.0,Reacondicionado,Macbook Pro 15 Retina Mid 2014 128gb-ssd 16gb I7 (Reacondicionado),24/12/2023,3263557318
,12000.0,Reacondicionado,Macbook Pro Touchbar I7 Turboboost 16gb Ram 256gb Ssd  (Reacondicionado),24/12/2023,6893336035
,29749.0,Reacondicionado,Apple Macbook Pro 16 Pulgadas Intel I9 32gb Ram 512gb A2141 (Reacondicionado),24/12/2023,8330506673
,9024.0,Reacondicionado,Macbook Pro 15 Retina Finales 2013 240gb-ssd 8gb I5 (Reacondicionado),24/12/2023,6208513250
Nuevo,8357.0,,Portátil Apple Macbook Pro Md103ll/a Paquete Reacondicionado,24/12/2023,638842096
,5225.0,Reacondicionado,Macbook Pro 13 Finales 2011 750gb-hdd 16gb Core I7 (Reacondicionado),24/12/2023,8971440737
,12500.0,Reacondicionado,Macbook Pro Touchbar I7 16gb Ram 256gb Ssd Turboboost  (Reacondicionado),24/12/2023,4378816567
,7124.0,Reacondicionado,Macbook Pro 13 Mid 2012 256gb-ssd 4gb I5 (Reacondicionado),24/12/2023,3525317896
Usado,19249.0,,Macbook Pro 2019 16 I9-9880 8 Core 16gb 1tb Gris Rp 5500m,24/12/2023,7223832972
,6270.0,Reacondicionado,Macbook Pro 13 Mid 2012 256gb-ssd 8gb I7 (reacondicionado) (Reacondicionado),24/12/2023,8307360132
,7030.0,Reacondicionado,Macbook Pro 15 Retina 2012 256gb-ssd 16gb I7 (Reacondicionado),24/12/2023,4376072990
Usado  |  1 vendido,400.0,,Touchpad Trackpad Laptop Macbook A1278 Late 2008,24/12/2023,4770815447
Usado  |  1 vendido,250.0,,Ventilador Laptop Macbook A1278 2009 Al 2012 N/p Ksb0505hb,24/12/2023,7012987422
Usado  |  1 vendido,250.0,,Power Jack Macbook Pro A1278 A1286 2008-2012 N/p 820-2565-a,24/12/2023,8660480238
,4600.0,Reacondicionado,Macbook Pro 13'' Modelo A1278 Apple  (Reacondicionado),24/12/2023,8831156944
,4465.0,Reacondicionado,Macbook Pro 13 Mid 2010 320gb-hdd 4gb Intel Core 2 Duo (Reacondicionado),24/12/2023,6257891484
,9024.0,Reacondicionado,Macbook Pro 15 Retina Finales 2013 256gb-ssd 8gb I7 (Reacondicionado),24/12/2023,9607046699
Usado  |  1 vendido,11990.0,,Apple Macbook Pro A-1708 Intel Ci5-7360u 8gb/512gb,24/12/2023,8297324048
,8074.0,Reacondicionado,Macbook Pro 13 Retina Mid 2014 256gb-ssd 8gb I5 (Reacondicionado),24/12/2023,2588762621
,5130.0,Reacondicionado,Macbook Pro 15 Mid 2010 500gb-hdd 8gb I7 (reacondicionado) (Reacondicionado),24/12/2023,897386053
,5224.0,Reacondicionado,Macbook pro 15 Mid 2010 500gb-hdd 8gb I5 (reacondicionado) (Reacondicionado),24/12/2023,2084941766
Nuevo  |  1 vendido,1178.0,,Protector Matte Negro Macbook Pro 13.3 Negro Xtreme C,24/12/2023,6413175677
Nuevo,44998.0,,"Apple Macbookpro 16,touch Bar, Intelci9, 16gb Ram, 1tb)",24/12/2023,5878508625
4 vendidos,11658.0,Reacondicionado,Apple Macbook Pro 2018 I5 2.3ghz 8gb Ssd 256gb 13.3 Touchbar (Reacondicionado),25/12/2023,4199059969
3 vendidos,11187.0,Reacondicionado,Apple Macbook Pro Retina/core I7/8 Ram/500 Gb Ssd/13.3/ Msi (Reacondicionado),25/12/2023,5908364791
2 vendidos,9399.0,Reacondicionado,"Macbook Pro 2017 (inch 13), Cre I5, 8gb De Ram, 250gb (Reacondicionado)",25/12/2023,95906186
+5 vendidos,15922.0,Reacondicionado,Apple Macbook Pro Retina I7 3.1 2017 16gb Ssd 1tb 15.4 2gb (Reacondicionado),25/12/2023,9866279910
+5 vendidos,20749.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Intel I7 16gb 512ssd 5300m (Reacondicionado),25/12/2023,4526809573
4 vendidos,27381.0,Reacondicionado,Macbook Pro 2018 Core I9 32gb Ram 4tb Ssd Touch Bar 2.9 Ghz (Reacondicionado),25/12/2023,3719986083
+5 vendidos,7667.0,Reacondicionado,Laptop Apple Macbook Pro 13 PuLG 16gb Ram 512gb Core I7 (Reacondicionado),25/12/2023,4870204111
1 vendido,12188.0,Reacondicionado,Apple Macbook Pro 2020 Intel Core I5 8gb Ram Ssd 256gb  (Reacondicionado),25/12/2023,211965217
+50 vendidos,4334.0,Reacondicionado,Macbook Pro 13 2012 Macos Catalina Apple Buena Batería (Reacondicionado),25/12/2023,1767199179
+5 vendidos,10391.0,Reacondicionado,Apple Macbook Pro Retina/ Core I7/ 8 Ram/ 500 Gb Ssd/ 13.3  (Reacondicionado),25/12/2023,3724835653
+50 vendidos,4959.0,Reacondicionado,Macbook Pro 13 2012 Mac Os Catalina Apple Buena Batería Msi (Reacondicionado),25/12/2023,2272200574
